Provisional Results 2016-17,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
MEng Computer Science (Year 3),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Results are overall module results; these are provisional until verified by the UCL Board of Examiners. ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Progression Status
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,,,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3072,,,COMP3095,COMP3096A,,COMP312P,COMP313P,,,,COMPM052,Pass progress to next academic year
NTSV8,3,A,,2016/17,UMNCOMSING14,,COMPUTER SCI,Module Result,79,87,77,,,75,80,,79,74,,,,89,
,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,,,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,,,COMP3058,COMP3095,,COMP3096A,MSIN3G07,,,,MSIN7017,Pass progress to next academic year
NYKV1,3,A,,2016/17,UMNCOMSING14,,COMPUTER SCI,Module Result,92,78,79,,,93,75,,70,75,,,,65,
,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,,,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3013,,,COMP3035,COMP3095,,COMP3096A,COMP312P,,,,COMP313P,Pass progress to next academic year
QTGD5,3,A,,2016/17,UMNCOMSING14,,COMPUTER SCI,Module Result,65,63,55,,,59,72,,62,63,,,,56,
,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,,,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3012,,,COMP3013,COMP3095,,COMP3096A,ELEC310P,,,,ELEC311P,Pass progress to next academic year
PMBV0,3,A,,2016/17,UMNCOMSING14,,COMPUTER SCI,Module Result,58,72,73,,,79,80,,76,70,,,,79,
,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,,,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3012,,,COMP3072,COMP3095,,COMP3096A,COMP312P,,,,COMP313P,Pass progress to next academic year
QBQD3,3,A,,2016/17,UMNCOMSING14,,COMPUTER SCI,Module Result,94,90,81,,,79,80,,75,78,,,,90,
,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,,,,0.5,PP
,,,,,,,,Module Code,CEGE301M,CEGE305M,COMP3004,,,COMP3005,COMP3058,,COMP3080,COMP3095,,,,COMP3096A,Pass progress to next academic year
QFBV6,3,A,,2016/17,UMNCOMSING14,,COMPUTER SCI,Module Result,59,56,71,,,69,89,,84,72,,,,62,
,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,,,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3012,,,COMP3013,COMP3095,,COMP3096A,MSIN3G07,,,,MSIN7017,Pass progress to next academic year
NZWV8,3,A,,2016/17,UMNCOMSING14,,COMPUTER SCI,Module Result,63,79,75,,,88,62,,73,72,,,,67,
,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,,,0.5,0.5,,0.5,1.0,,,,,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,,,COMP3080,COMP3095,,COMP3096A,LCGE6034,,,,,Pass progress to next academic year
PHMD2,3,A,,2016/17,UMNCOMSING14,,COMPUTER SCI,Module Result,70,67,52,,,84,80,,65,53,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,,,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3058,,,COMP3072,COMP3095,,COMP3096A,ELEC310P,,,,ELEC311P,Pass progress to next academic year
QCJV1,3,A,,2016/17,UMNCOMSING14,,COMPUTER SCI,Module Result,59,66,36,,,32,68,,65,60,,,,73,
,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,,,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3013,,,COMP3080,COMP3095,,COMP3096A,COMP312P,,,,COMP313P,Pass progress to next academic year
NFTN9,3,A,,2016/17,UMNCOMSING14,,COMPUTER SCI,Module Result,83,88,85,,,82,80,,75,80,,,,90,
,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,,,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3013,,,COMP3080,COMP3095,,COMP3096A,ELEC310P,,,,ELEC311P,Pass progress to next academic year
NJVV5,3,A,,2016/17,UMNCOMSING14,,COMPUTER SCI,Module Result,75,75,73,,,77,80,,67,66,,,,76,
,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,,,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,,,COMP3013,COMP3095,,COMP3096A,COMP312P,,,,COMP313P,Pass progress to next academic year
RMDV6,3,A,,2016/17,UMNCOMSING14,,COMPUTER SCI,Module Result,75,85,83,,,80,68,,68,69,,,,79,
,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,,,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3058,,,COMP3080,COMP3095,,COMP3096A,ELEC310P,,,,ELEC311P,Pass progress to next academic year
NLVV3,3,A,,2016/17,UMNCOMSING14,,COMPUTER SCI,Module Result,96,88,83,,,77,90,,82,72,,,,74,
,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,,,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3035,,,COMP3058,COMP3095,,COMP3096A,MSIN3004,,,,MSIN3G23,Pass progress to next academic year
PBYV8,3,A,,2016/17,UMNCOMSING14,,COMPUTER SCI,Module Result,54,46,48,,,40,63,,59,16,,,,48,
